RBD,NOM_RBD,NOM_COM_RBD,lon,lat,Zona
7854,ESCUELA RURAL JUANITA GALLARDO,MAULLIN,-73.4323024,-41.6508204,Zona Austral
7855,ESCUELA RURAL PUELPUN,MAULLIN,-73.4691857,-41.5472925,Zona Austral
7856,ESCUELA RURAL ASTILLEROS,MAULLIN,-73.5971288,-41.6018645,Zona Austral
7858,ESCUELA RURAL FRANCISCO HERNANDEZ NAVARRO,MAULLIN,-73.6016737,-41.6183881,Zona Austral
7860,ESCUELA RURAL MARIO ENRIQUE GUZMAN ACEVEDO,MAULLIN,-72.9888843,-41.3207737,Zona Austral
7861,ESCUELA RURAL EL JARDIN DE OLMOPULLI,MAULLIN,-73.4618845,-41.5714333,Zona Austral
7864,ESCUELA RURAL SAN JORGE,MAULLIN,-73.5971288,-41.6018645,Zona Austral
7866,ESCUELA RURAL HILDA HUNQUEN,MAULLIN,-73.6778184,-41.5639766,Zona Austral
7868,ESCUELA RURAL LOS PINOS DEL EMPALME,MAULLIN,-73.6016737,-41.6183881,Zona Austral
7871,ESCUELA PARTICULAR N.211 LAS ENCINAS,MAULLIN,-73.3549515,-41.6265413,Zona Austral
7872,COLEGIO DE DIFUSION ARTISTICA LOS ULMOS,LOS MUERMOS,-73.4578025,-41.3916878,Zona Austral
7874,ESCUELA RURAL CA�ITAS,LOS MUERMOS,-73.4523013,-41.3034635,Zona Austral
7878,ESCUELA RURAL PALIHUE,LOS MUERMOS,-73.5701196,-41.3497262,Zona Austral
7879,ESCUELA RURAL QUILLAGUA,LOS MUERMOS,-73.4384251,-41.391215,Zona Austral
7881,ESCUELA RURAL HUAUTRUNES,LOS MUERMOS,-73.4649905,-41.3994093,Zona Austral
7882,ESCUELA RURAL CULULIL,LOS MUERMOS,-73.6126504,-41.5053087,Zona Austral
7887,ESCUELA RURAL CARACOL,LOS MUERMOS,-73.4739007,-41.4492606,Zona Austral
7891,ESCUELA RURAL SAN CARLOS,LOS MUERMOS,-73.5701196,-41.3497262,Zona Austral
7894,ESCUELA RURAL PARAGUAY CHICO EL GATO,LOS MUERMOS,-73.2844297,-41.4121613,Zona Austral
7896,ESCUELA RURAL ESTAQUILLA,LOS MUERMOS,-73.8370506,-41.3940535,Zona Austral
7897,ESCUELA RURAL MANUEL GATICA ARRIAGADA,LOS MUERMOS,-73.6126504,-41.5053087,Zona Austral
7898,ESCUELA RURAL EL MELI,LOS MUERMOS,-73.602157,-41.3352451,Zona Austral
7901,ESCUELA RURAL EL SARAOS,LOS MUERMOS,-73.4739007,-41.4492606,Zona Austral
7903,ESCUELA RURAL EL �ADY,LOS MUERMOS,-73.5701196,-41.3497262,Zona Austral
7904,ESCUELA RURAL SERENA ESPERANZA,LOS MUERMOS,-73.738731,-41.3949684,Zona Austral
7905,ESCUELA RURAL PARAGUAY CHICO,LOS MUERMOS,-73.2844297,-41.4121613,Zona Austral
7907,COLEGIO RAMON ANGEL JARA,LOS MUERMOS,-73.4665555,-41.3923246,Zona Austral
7908,ESCUELA PARTICULAR N.216 MIRAMAR,LOS MUERMOS,-73.4578025,-41.3916878,Zona Austral
7910,ESCUELA PARTICULAR N.212 LA ESPERANZA,LOS MUERMOS,-73.4579675,-41.3947883,Zona Austral
7911,ESCUELA PARTICULAR N.213 EL LAUREL,LOS MUERMOS,-73.4651433,-41.3944267,Zona Austral
7913,ESCUELA PARTICULAR N.214 JUAN STOLZENBACH HOTT,LOS MUERMOS,-73.4620757,-41.3977302,Zona Austral
7915,ESCUELA PARTICULAR N.217 MIRAMAR BAJO,LOS MUERMOS,-73.737243,-41.356876,Zona Austral
7916,ESCUELA PARTICULAR N.218 LOS KLEIN,LOS MUERMOS,-73.4651433,-41.3944267,Zona Austral
7917,ESCUELA PARTICULAR N.219 CORDILLERA VIEJA,LOS MUERMOS,-73.6478202,-41.3669413,Zona Austral
7918,ESCUELA PARTICULAR N.220 FUNDO LA PALOMA,LOS MUERMOS,-73.4651433,-41.3944267,Zona Austral
7919,ESCUELA PARTICULAR N.221 ESTAQUILLA BAJO,LOS MUERMOS,-73.8359779,-41.3837526,Zona Austral
7922,ESCUELA PARTICULAR N.232 EL PROGRESO,LOS MUERMOS,-73.4651433,-41.3944267,Zona Austral
7924,ESCUELA RURAL SAN ANDRES,FRESIA,-84.1799675,39.7393,Norte Grande
7927,ESCUELA RURAL CAU-CAU,FRESIA,-73.5619007,-41.1152805,Zona Austral
7929,ESCUELA BASICA AGRICOLA HUEMPELEO,FRESIA,-73.4857514,-41.0474171,Zona Austral
7930,ESCUELA RURAL LUCILA GODOY ALCAYAGA,FRESIA,-84.1799675,39.7393,Norte Grande
7931,ESCUELA RURAL PATO LLICO,FRESIA,-73.7117527,-41.2110937,Zona Austral
7933,ESCUELA RURAL OLGA SOTO ALVARADO,FRESIA,-73.4163343,-41.15,Zona Austral
7936,ESCUELA RURAL RINCONADA,FRESIA,-84.1799675,39.7393,Norte Grande
7938,ESCUELA RURAL ENTRE RIOS,FRESIA,-60.5175877,-31.8424201,Norte Chico
7939,ESCUELA RURAL LINEA SIN NOMBRE,FRESIA,-73.3306332,-41.2511977,Zona Austral
7940,ESCUELA RURAL PARGA,FRESIA,-73.488843,-41.2185821,Zona Austral
7941,LICEO CARLOS IBA�EZ DEL CAMPO,FRESIA,-73.4168327,-41.1531628,Zona Austral
7942,COLEGIO PURISIMO CORAZON DE MARIA,FRESIA,-73.423513,-41.1542435,Zona Austral
7944,ESCUELA RURAL SANTA MONICA,FRESIA,-118.4703948,34.0165568,Norte Grande
7945,ESCUELA RURAL EL PEUCHEN,FRESIA,-73.6807135,-41.1333037,Zona Austral
